Node                              Forfather Fraction
------------------------------  --------------------
(530.0, -2.0, 2)                                0.02
(540.0, -2.0, 2)                                0.02
(550.0, -2.0, 1)                                0.02
(590.0, -2.0, 2)                                0.02
(600.0, -2.0, 1)                                0.02
(500.0, -2.0, 1)                                0.02
(510.0, -2.0, 1)                                0.02
(520.0, -2.0, 2)                                0.02
(425.0, -2.0, 2)                                0.02
(435.0, -2.0, 2)                                0.02
(790.0, -2.0, 2)                                0.02
(800.0, -2.0, 1)                                0.02
(501.0, -2.0, 2)                                0.02
(511.0, -2.0, 2)                                0.02
(521.0, -2.0, 1)                                0.02
(531.0, -2.0, 2)                                0.02
(760.0, -2.0, 1)                                0.02
(770.0, -2.0, 2)                                0.02
(780.0, -2.0, 1)                                0.02
(655.0, -2.0, 2)                                0.02
(665.0, -2.0, 1)                                0.02
(795.0, -2.0, 2)                                0.02
(805.0, -2.0, 2)                                0.02
(815.0, -2.0, 2)                                0.02
(370.0, -2.0, 1)                                0.02
(380.0, -2.0, 1)                                0.02
(366.0, -2.0, 1)                                0.02
(376.0, -2.0, 1)                                0.02
(386.0, -2.0, 1)                                0.02
(575.0, -2.0, 1)                                0.02
(585.0, -2.0, 2)                                0.02
(595.0, -2.0, 2)                                0.02
(450.0, -2.0, 2)                                0.02
(460.0, -2.0, 2)                                0.02
(470.0, -2.0, 2)                                0.02
(480.0, -2.0, 2)                                0.02
(512.0, -2.0, 1)                                0.02
(522.0, -2.0, 2)                                0.02
(430.0, -2.0, 1)                                0.02
(440.0, -2.0, 1)                                0.02
(305.0, -2.0, 1)                                0.02
(315.0, -2.0, 2)                                0.02
(325.0, -2.0, 1)                                0.02
(175.0, -2.0, 2)                                0.02
(185.0, -2.0, 2)                                0.02
(345.0, -2.0, 1)                                0.02
(355.0, -2.0, 1)                                0.02
(365.0, -2.0, 2)                                0.02
(503.0, -2.0, 1)                                0.02
(513.0, -2.0, 1)                                0.02
(523.0, -2.0, 1)                                0.02
(533.0, -2.0, 2)                                0.02
(685.0, -2.0, 1)                                0.02
(695.0, -2.0, 2)                                0.02
(705.0, -2.0, 2)                                0.02
(715.0, -2.0, 2)                                0.02
(380.0, -2.0, 2)                                0.02
(801.0, -2.0, 2)                                0.02
(811.0, -2.0, 2)                                0.02
(505.0, -2.0, 1)                                0.02
(515.0, -2.0, 2)                                0.02
(400.0, -2.0, 1)                                0.02
(410.0, -2.0, 2)                                0.02
(40.0, -2.0, 1)                                 0.02
(50.0, -2.0, 1)                                 0.02
(60.0, -2.0, 2)                                 0.02
(290.0, -2.0, 2)                                0.02
(300.0, -2.0, 1)                                0.02
(310.0, -2.0, 1)                                0.02
(535.0, -2.0, 2)                                0.02
(545.0, -2.0, 2)                                0.02
(555.0, -2.0, 2)                                0.02
(565.0, -2.0, 1)                                0.02
(426.0, -2.0, 1)                                0.02
(436.0, -2.0, 2)                                0.02
(786.0, -2.0, 1)                                0.02
(796.0, -2.0, 1)                                0.02
(806.0, -2.0, 1)                                0.02
(525.0, -2.0, 1)                                0.02
(555.0, -2.0, 1)                                0.02
(565.0, -2.0, 2)                                0.02
(230.0, -2.0, 1)                                0.02
(240.0, -2.0, 1)                                0.02
(250.0, -2.0, 1)                                0.02
(260.0, -2.0, 2)                                0.02
(830.0, -2.0, 1)                                0.02
(445.0, -2.0, 1)                                0.02
(455.0, -2.0, 1)                                0.02
(465.0, -2.0, 2)                                0.02
(160.0, -2.0, 1)                                0.02
(170.0, -2.0, 2)                                0.02
(581.0, -2.0, 1)                                0.02
(591.0, -2.0, 1)                                0.02
(320.0, -2.0, 1)                                0.02
(330.0, -2.0, 2)                                0.02
(340.0, -2.0, 2)                                0.02
(950.0, -2.0, 1)                                0.02
(960.0, -2.0, 1)                                0.02
(970.0, -2.0, 2)                                0.02
(560.0, -2.0, 1)                                0.02
(570.0, -2.0, 2)                                0.02
(290.0, -2.0, 1)                                0.02
(300.0, -2.0, 2)                                0.02
(390.0, -2.0, 1)                                0.02
(410.0, -2.0, 1)                                0.02
(420.0, -2.0, 2)                                0.02
(630.0, -2.0, 1)                                0.02
(640.0, -2.0, 1)                                0.02
(650.0, -2.0, 2)                                0.02
(190.0, -2.0, 2)                                0.02
(200.0, -2.0, 2)                                0.02
(875.0, -2.0, 2)                                0.02
(885.0, -2.0, 1)                                0.02
(510.0, -2.0, 2)                                0.02
(448.0, -4.0, 1)                                0.04
(453.0, -4.0, 1)                                0.04
(610.0, -4.0, 1)                                0.04
(615.0, -4.0, 2)                                0.04
(620.0, -4.0, 1)                                0.04
(625.0, -4.0, 1)                                0.04
